Código    Comida(kg)    Leche(litros)
 1         62         31.40
 2         65         41.00
 3         68         31.20
 4         80         32.10
 5         61         36.30
 6         51         33.40
 7         60         40.20
 8         65         24.40
 9         69         41.20
10         53         35.50
11         51         28.80
12         85         31.50
13         54         38.40
14         74         42.20
15         69         32.70
16         73         29.70
17         57         39.00
18         58         37.20
19         41         31.50
20         80         44.20
21         70         33.80
22         68         28.00
23         51         36.60
24         63         29.90
25         55         30.30
26         70         42.00
27         69         28.80
28         63         33.00
29         44         29.20
30         55         35.50
31         89         38.40
32         68         31.10
33         78         33.50
34         82         38.50
35         80         36.00
36         69         29.40
37         48         29.30
38         57         27.90
39         68         34.80
40         79         34.80
41         74         33.20
42         52         34.80
43         73         34.10
44         70         37.60
45         55         40.80
46         56         39.80
47         62         30.70
48         83         34.70
49         44         36.00
50         66         36.00
